Customer_Id,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_Of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_On_Product_Research(Hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_With_Ads,Device_Used_For_Shopping,Payment_Method,Time_Of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_To_Decision,Purchase_Day,Is_Weekend
37-611-6911,22,female,middle,married,bachelor's,middle,evry,gardening & outdoors,333.8,4,mixed,5,5.0,2.0,unknown,somewhat sensitive,1,7,unknown,tablet,credit card,2024-03-01,True,False,need-based,no preference,2,Friday,False
29-392-9296,49,male,high,married,high school,high,huocheng,food & beverages,222.22,11,in-store,3,1.0,2.0,medium,not sensitive,1,5,high,tablet,paypal,2024-04-16,True,False,wants-based,standard,6,Tuesday,False
84-649-5117,24,female,middle,single,master's,high,huzhen,office supplies,426.22,2,mixed,5,5.0,0.3,low,not sensitive,1,7,low,smartphone,debit card,2024-03-15,True,True,impulsive,no preference,3,Friday,False
48-980-6078,29,female,middle,single,master's,middle,wiwili,home appliances,101.31,6,mixed,3,1.0,1.0,high,somewhat sensitive,0,1,unknown,smartphone,other,2024-10-04,True,True,need-based,express,10,Friday,False
91-170-9072,33,female,middle,widowed,high school,middle,nara,furniture,211.7,6,mixed,3,4.0,0.0,medium,not sensitive,2,10,unknown,smartphone,debit card,2024-01-30,False,False,wants-based,no preference,4,Tuesday,False
82-561-4233,45,male,middle,married,master's,high,boro utara,office supplies,487.95,8,mixed,3,3.0,0.0,high,not sensitive,2,3,unknown,tablet,debit card,2024-03-19,False,False,planned,no preference,7,Tuesday,False
90-144-9193,21,female,middle,divorced,high school,middle,liren,furniture,486.4,12,online,2,5.0,1.0,high,somewhat sensitive,0,9,low,desktop,debit card,2024-03-15,True,False,need-based,express,13,Friday,False
88-661-4689,39,male,middle,single,high school,middle,taocheng,books,218.06,6,online,5,4.0,1.0,low,somewhat sensitive,2,9,unknown,desktop,credit card,2024-03-17,False,True,impulsive,no preference,13,Sunday,True
37-065-3182,24,female,high,divorced,master's,middle,grabo,office supplies,201.96,8,in-store,3,5.0,0.0,low,very sensitive,1,2,high,desktop,cash,2024-06-10,False,False,need-based,standard,7,Monday,False
84-894-9222,25,bigender,high,married,bachelor's,high,pryamitsyno,sports & outdoors,418.83,7,online,2,5.0,1.0,unknown,somewhat sensitive,1,5,medium,tablet,paypal,2024-10-07,True,False,need-based,no preference,13,Monday,False
44-674-4037,33,male,middle,divorced,bachelor's,middle,punta gorda,mobile accessories,389.7,12,in-store,1,4.0,0.5,low,not sensitive,0,4,high,desktop,paypal,2024-07-02,True,False,planned,express,12,Tuesday,False
78-116-8349,38,female,high,widowed,bachelor's,middle,gyor,sports & outdoors,238.93,5,online,4,3.0,1.0,medium,very sensitive,0,10,high,tablet,cash,2024-12-27,True,False,planned,no preference,1,Friday,False
19-933-8095,34,male,middle,single,bachelor's,high,gaosheng,luxury goods,61.22,7,in-store,5,2.0,2.0,low,very sensitive,1,7,high,desktop,debit card,2024-08-05,True,True,need-based,no preference,5,Monday,False
80-684-5072,32,male,high,married,high school,middle,rokytne,animal feed,79.81,4,mixed,5,5.0,0.0,high,not sensitive,0,9,high,smartphone,debit card,2024-07-16,False,True,wants-based,standard,14,Tuesday,False
